ID,Porter,Snow,Lancaster
3771,realli is unhappi with the websit . claim the self servic stuff doe not work . In addit think he phone doe not work well .,realli is unhappi with the websit . claim the self servic stuff doe not work . in addit think he phone doe not work well .,real is unhappy with the websit . claim the self serv stuff doe not work . in addit think he phon doe not work wel .
2491,ask about how to chang hi ring tone . refer him to web site .,ask about how to chang his ring tone . refer him to web site .,ask about how to chang his ring ton . refer him to web sit .
956,want to chang rate plan to get famili all on same bill . I transfer him to custom care .,want to chang rate plan to get famili all on same bill . i transfer him to custom care .,want to chang rat plan to get famy al on sam bil . i transfer him to custom car .
3135,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
3236,want a new facepl .,want a new facepl .,want a new facepl .
976,want an address chang .,want an address chang .,want an address chang .
2870,He lost hi phone and call to cancel servic . I told him we would suspend until we hear back from him . He will contact us soon .,he lost his phone and call to cancel servic . i told him we would suspend until we hear back from him . he will contact us soon .,he lost his phon and cal to cancel serv . i told him we would suspend until we hear back from him . he wil contact us soon .
2329,cant get hi call forward to work . I should him how and how to get a coupl of other featur to work . I also point him to the web site .,cant get his call forward to work . i should him how and how to get a coupl of other featur to work . i also point him to the web site .,cant get his cal forward to work . i should him how and how to get a coupl of oth feat to work . i also point him to the web sit .
1379,"He is realli unhappi with hi bill . He say that there are numer call he ha never made , but that show up on hi phone . He say that he simpli doe not trust our system .","he is realli unhappi with his bill . he say that there are numer call he has never made , but that show up on his phone . he say that he simpli doe not trust our system .","he is real unhappy with his bil . he say that ther ar num cal he has nev mad , but that show up on his phon . he say that he simply doe not trust our system ."
1333,He doe not know if the problem are relat to the phone or if it is just the batteri .,he doe not know if the problem are relat to the phone or if it is just the batteri .,he doe not know if the problem ar rel to the phon or if it is just the battery .
2659,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
690,hope to get an additon line work by the end of the week for hi wife .,hope to get an additon line work by the end of the week for his wife .,hop to get an additon lin work by the end of the week for his wif .
2608,said hi batteri never ha work well . want a new phone asap .,said his batteri never has work well . want a new phone asap .,said his battery nev has work wel . want a new phon asap .
2775,realli is unhappi with the websit . claim the self servic stuff doe not work . In addit think he phone doe not work well .,realli is unhappi with the websit . claim the self servic stuff doe not work . in addit think he phone doe not work well .,real is unhappy with the websit . claim the self serv stuff doe not work . in addit think he phon doe not work wel .
2851,said hi batteri never ha work well . want a new phone asap .,said his batteri never has work well . want a new phone asap .,said his battery nev has work wel . want a new phon asap .
587,He ask for a new phone number . I refer him to custom care .,he ask for a new phone number . i refer him to custom care .,he ask for a new phon numb . i refer him to custom car .
3056,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
1246,the handset realli suck . I could not hear anyth near my hous .,the handset realli suck . i could not hear anyth near my hous .,the handset real suck . i could not hear anyth near my hous .
1307,handset suck,handset suck,handset suck
1166,hope to get an additon line work by the end of the week for hi wife .,hope to get an additon line work by the end of the week for his wife .,hop to get an additon lin work by the end of the week for his wif .
2584,ask how to disabl call wait . refer him to web site .,ask how to disabl call wait . refer him to web site .,ask how to dis cal wait . refer him to web sit .
1225,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
3409,I suspect that the handset on my phone wa defect from the day I bought it .,i suspect that the handset on my phone was defect from the day i bought it .,i suspect that the handset on my phon was defect from the day i bought it .
1808,the recept near hi home is realli horribl . He know exactli when hi call will drop . He want to know what we are go to do to fix thi ? He say that if we do not fix it he will go to a differ cell compani and sinc we can not keep our end of t,the recept near his home is realli horribl . he know exact when his call will drop . he want to know what we are go to do to fix this ? he say that if we do not fix it he will go to a differ cell compani and sinc we can not keep our end of t,the receiv near his hom is real horr . he know exact when his cal wil drop . he want to know what we ar going to do to fix thi ? he say that if we do not fix it he wil go to a diff cel company and sint we can not keep our end of t
3180,"He hate hi phone . He can not understand whi we gave him such a horribl piec of rubbish . I tri to explain that he could bring it in for servic , but he just want a new phone . He doe not want to wast ani more time with the 3399 . I ask custom car","he hate his phone . he can not understand whi we gave him such a horribl piec of rubbish . i tri to explain that he could bring it in for servic , but he just want a new phone . he doe not want to wast ani more time with the 3399 . i ask custom car","he hat his phon . he can not understand why we gav him such a horr piec of rub . i tri to explain that he could bring it in for serv , but he just want a new phon . he doe not want to wast any mor tim with the 3399 . i ask custom car"
1499,need help figur out hi bill . I explain our minut charg .,need help figur out his bill . i explain our minut charg .,nee help fig out his bil . i explain our minut charg .
772,I expect significantli better servic .,i expect signific better servic .,i expect sign bet serv .
442,want to chang rate plan to get famili all on same bill . I transfer him to custom care .,want to chang rate plan to get famili all on same bill . i transfer him to custom care .,want to chang rat plan to get famy al on sam bil . i transfer him to custom car .
1646,want to chang adress .,want to chang adress .,want to chang adress .
2236,want to chang rate plan to get famili all on same bill . I transfer him to custom care .,want to chang rate plan to get famili all on same bill . i transfer him to custom care .,want to chang rat plan to get famy al on sam bil . i transfer him to custom car .
1782,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
1148,He lost hi phone and call to cancel servic . I told him we would suspend until we hear back from him . He will contact us soon .,he lost his phone and call to cancel servic . i told him we would suspend until we hear back from him . he will contact us soon .,he lost his phon and cal to cancel serv . i told him we would suspend until we hear back from him . he wil contact us soon .
916,want to add anoth phone . contact provis .,want to add anoth phone . contact provis .,want to ad anoth phon . contact provid .
488,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
2341,He lost hi phone and call to cancel servic . I told him we would suspend until we hear back from him . He will contact us soon .,he lost his phone and call to cancel servic . i told him we would suspend until we hear back from him . he will contact us soon .,he lost his phon and cal to cancel serv . i told him we would suspend until we hear back from him . he wil contact us soon .
1360,cant figur out how to check hi vm when out of area . I refer him to our web site .,cant figur out how to check his vm when out of area . i refer him to our web site .,cant fig out how to check his vm when out of are . i refer him to our web sit .
140,He lost hi phone and call to cancel servic . I told him we would suspend until we hear back from him . He will contact us soon .,he lost his phone and call to cancel servic . i told him we would suspend until we hear back from him . he will contact us soon .,he lost his phon and cal to cancel serv . i told him we would suspend until we hear back from him . he wil contact us soon .
827,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
1085,transfer to manag asap,transfer to manag asap,transfer to man asap
1110,realli want the new phone from xvyx which ha the pda built in .,realli want the new phone from xvyx which has the pda built in .,real want the new phon from xvyx which has the pda built in .
1282,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
983,need help figur out hi bill . I explain our minut charg .,need help figur out his bill . i explain our minut charg .,nee help fig out his bil . i explain our minut charg .
2909,hope to get an additon line work by the end of the week for hi wife .,hope to get an additon line work by the end of the week for his wife .,hop to get an additon lin work by the end of the week for his wif .
3300,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
2611,lost hi charger and want to know where he can anoth asap . I suggest local store .,lost his charger and want to know where he can anoth asap . i suggest local store .,lost his charg and want to know wher he can anoth asap . i suggest loc stor .
3002,want to chang rate plan to get famili all on same bill . I transfer him to custom care .,want to chang rate plan to get famili all on same bill . i transfer him to custom care .,want to chang rat plan to get famy al on sam bil . i transfer him to custom car .
2993,ask about how to chang hi ring tone . refer him to web site .,ask about how to chang his ring tone . refer him to web site .,ask about how to chang his ring ton . refer him to web sit .
1779,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
1448,ask about how to chang hi ring tone . refer him to web site .,ask about how to chang his ring tone . refer him to web site .,ask about how to chang his ring ton . refer him to web sit .
3420,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
1645,cant get hi call forward to work . I should him how and how to get a coupl of other featur to work . I also point him to the web site .,cant get his call forward to work . i should him how and how to get a coupl of other featur to work . i also point him to the web site .,cant get his cal forward to work . i should him how and how to get a coupl of oth feat to work . i also point him to the web sit .
900,want to know how to do text messag . refer him to web site .,want to know how to do text messag . refer him to web site .,want to know how to do text mess . refer him to web sit .
2140,I need a handset which also function as a pda . you did not offer such a model .,i need a handset which also function as a pda . you did not offer such a model .,i nee a handset which also funct as a pda . you did not off such a model .
1087,He expect significantli better technic support .,he expect signific better technic support .,he expect sign bet techn support .
3716,He expect significantli better technic support .,he expect signific better technic support .,he expect sign bet techn support .
3156,want to add anoth phone . contact provis .,want to add anoth phone . contact provis .,want to ad anoth phon . contact provid .
2485,ask about how to chang hi ring tone . refer him to web site .,ask about how to chang his ring tone . refer him to web site .,ask about how to chang his ring ton . refer him to web sit .
719,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
2771,need help figur out hi bill . I explain our minut charg .,need help figur out his bill . i explain our minut charg .,nee help fig out his bil . i explain our minut charg .
3725,ask about how to chang hi ring tone . refer him to web site .,ask about how to chang his ring tone . refer him to web site .,ask about how to chang his ring ton . refer him to web sit .
3785,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
782,"she want a new phone . ha tri to use a coupl of differ model , but is now fed up . she is will ing to pay some of the cost , but want a credit on her bill . she said her friend ha the same servic and a differ phone that work great . she also wa","she want a new phone . has tri to use a coupl of differ model , but is now fed up . she is will ing to pay some of the cost , but want a credit on her bill . she said her friend has the same servic and a differ phone that work great . she also wa","she want a new phon . has tri to us a coupl of diff model , but is now fed up . she is wil ing to pay som of the cost , but want a credit on her bil . she said her friend has the sam serv and a diff phon that work gre . she also wa"
2891,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
2414,the signal on my handset wa alway weak . even when I replac the batteri .,the signal on my handset was alway weak . even when i replac the batteri .,the sign on my handset was alway weak . ev when i replac the battery .
1346,transfer to manag asap,transfer to manag asap,transfer to man asap
2082,He lost hi phone and call to cancel servic . I told him we would suspend until we hear back from him . He will contact us soon .,he lost his phone and call to cancel servic . i told him we would suspend until we hear back from him . he will contact us soon .,he lost his phon and cal to cancel serv . i told him we would suspend until we hear back from him . he wil contact us soon .
1277,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
954,want to chang rate plan to get famili all on same bill . I transfer him to custom care .,want to chang rate plan to get famili all on same bill . i transfer him to custom care .,want to chang rat plan to get famy al on sam bil . i transfer him to custom car .
1018,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
83,said hi batteri never ha work well . want a new phone asap .,said his batteri never has work well . want a new phone asap .,said his battery nev has work wel . want a new phon asap .
36,said hi batteri never ha work well . want a new phone asap .,said his batteri never has work well . want a new phone asap .,said his battery nev has work wel . want a new phon asap .
1119,He ask for a new phone number . I refer him to custom care .,he ask for a new phone number . i refer him to custom care .,he ask for a new phon numb . i refer him to custom car .
239,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
3676,lost the direct to phone and want anoth manual . I refer him to web site .,lost the direct to phone and want anoth manual . i refer him to web site .,lost the direct to phon and want anoth man . i refer him to web sit .
1831,He doe not know if the problem are relat to the phone or if it is just the batteri .,he doe not know if the problem are relat to the phone or if it is just the batteri .,he doe not know if the problem ar rel to the phon or if it is just the battery .
2516,call about new plan . might switch soon . want more minut .,call about new plan . might switch soon . want more minut .,cal about new plan . might switch soon . want mor minut .
3207,want to know how to do text messag . refer him to web site .,want to know how to do text messag . refer him to web site .,want to know how to do text mess . refer him to web sit .
2624,said hi batteri never ha work well . want a new phone asap .,said his batteri never has work well . want a new phone asap .,said his battery nev has work wel . want a new phon asap .
803,veri unhappi with new phone becaus it doe not use a simm chip . He say he wll have to reenter all hi inform in hi phone book and he find that a wast of time . claim other compani use simm to make thi easier with their phone .,veri unhappi with new phone becaus it doe not use a simm chip . he say he wll have to reenter all his inform in his phone book and he find that a wast of time . claim other compani use simm to make this easier with their phone .,very unhappy with new phon becaus it doe not us a sim chip . he say he wll hav to reent al his inform in his phon book and he find that a wast of tim . claim oth company us sim to mak thi easy with their phon .
2963,want to know how to do text messag . refer him to web site .,want to know how to do text messag . refer him to web site .,want to know how to do text mess . refer him to web sit .
1545,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
626,want to add addit line for famili . need more info on rate .,want to add addit line for famili . need more info on rate .,want to ad addit lin for famy . nee mor info on rat .
2185,want to know how to do text messag . refer him to web site .,want to know how to do text messag . refer him to web site .,want to know how to do text mess . refer him to web sit .
3416,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
560,ask how to disabl call wait . refer him to web site .,ask how to disabl call wait . refer him to web site .,ask how to dis cal wait . refer him to web sit .
473,need help figur out hi bill . I explain our minut charg .,need help figur out his bill . i explain our minut charg .,nee help fig out his bil . i explain our minut charg .
3430,want a new number becaus he keep on get call for a mr. napeleon leroy .,want a new number becaus he keep on get call for a mr. napeleon leroy .,want a new numb becaus he keep on get cal for a mr. napeleon leroy .
2247,call about new plan . might switch soon . want more minut .,call about new plan . might switch soon . want more minut .,cal about new plan . might switch soon . want mor minut .
2672,"He hate hi phone . He can not understand whi we gave him such a horribl piec of rubbish . I tri to explain that he could bring it in for servic , but he just want a new phone . He doe not want to wast ani more time with the 3399 . I ask custom car","he hate his phone . he can not understand whi we gave him such a horribl piec of rubbish . i tri to explain that he could bring it in for servic , but he just want a new phone . he doe not want to wast ani more time with the 3399 . i ask custom car","he hat his phon . he can not understand why we gav him such a horr piec of rub . i tri to explain that he could bring it in for serv , but he just want a new phon . he doe not want to wast any mor tim with the 3399 . i ask custom car"
2855,cant get hi call forward to work . I should him how and how to get a coupl of other featur to work . I also point him to the web site .,cant get his call forward to work . i should him how and how to get a coupl of other featur to work . i also point him to the web site .,cant get his cal forward to work . i should him how and how to get a coupl of oth feat to work . i also point him to the web sit .
3631,hope to get an additon line work by the end of the week for hi wife .,hope to get an additon line work by the end of the week for his wife .,hop to get an additon lin work by the end of the week for his wif .
3118,He lost hi phone and call to cancel servic . I told him we would suspend until we hear back from him . He will contact us soon .,he lost his phone and call to cancel servic . i told him we would suspend until we hear back from him . he will contact us soon .,he lost his phon and cal to cancel serv . i told him we would suspend until we hear back from him . he wil contact us soon .
1229,realli want the new phone from xvyx which ha the pda built in .,realli want the new phone from xvyx which has the pda built in .,real want the new phon from xvyx which has the pda built in .
3301,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
198,want inform on our internet servic . refer him to web site .,want inform on our internet servic . refer him to web site .,want inform on our internet serv . refer him to web sit .
3170,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
2460,want a new facepl .,want a new facepl .,want a new facepl .
3261,want to chang rate plan to get famili all on same bill . I transfer him to custom care .,want to chang rate plan to get famili all on same bill . i transfer him to custom care .,want to chang rat plan to get famy al on sam bil . i transfer him to custom car .
1465,want to chang rate plan to get famili all on same bill . I transfer him to custom care .,want to chang rate plan to get famili all on same bill . i transfer him to custom care .,want to chang rat plan to get famy al on sam bil . i transfer him to custom car .
1851,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
3451,want to know how to do text messag . refer him to web site .,want to know how to do text messag . refer him to web site .,want to know how to do text mess . refer him to web sit .
3541,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
791,the custom ha a number of complaint . hi major issu wa that the handset button were hard to use . He wa not happi with the phone at all .,the custom has a number of complaint . his major issu was that the handset button were hard to use . he was not happi with the phone at all .,the custom has a numb of complaint . his maj issu was that the handset button wer hard to us . he was not happy with the phon at al .
1098,realli want the new phone from xvyx which ha the pda built in .,realli want the new phone from xvyx which has the pda built in .,real want the new phon from xvyx which has the pda built in .
743,the handset never work well after I drop it in the toilet . I am surpris it ever work after that .,the handset never work well after i drop it in the toilet . i am surpris it ever work after that .,the handset nev work wel aft i drop it in the toilet . i am surpr it ev work aft that .
1377,"He say that hi phone work fine when use it in the car with the adapt , but the batteri perform suck . He can not wait to chang phone . He want to know if we would send him a new phone .","he say that his phone work fine when use it in the car with the adapt , but the batteri perform suck . he can not wait to chang phone . he want to know if we would send him a new phone .","he say that his phon work fin when us it in the car with the adapt , but the battery perform suck . he can not wait to chang phon . he want to know if we would send him a new phon ."
1770,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
3769,need help figur out hi bill . I explain our minut charg .,need help figur out his bill . i explain our minut charg .,nee help fig out his bil . i explain our minut charg .
2175,cant figur out how to check hi vm when out of area . I refer him to our web site .,cant figur out how to check his vm when out of area . i refer him to our web site .,cant fig out how to check his vm when out of are . i refer him to our web sit .
779,say that hi web recept realli is just to slow . want to know when he can expect thi to work at a decent rate of speed ? He also want to know whi it work so much better at the store ?,say that his web recept realli is just to slow . want to know when he can expect this to work at a decent rate of speed ? he also want to know whi it work so much better at the store ?,say that his web receiv real is just to slow . want to know when he can expect thi to work at a dec rat of spee ? he also want to know why it work so much bet at the stor ?
3084,ask how to disabl call wait . refer him to web site .,ask how to disabl call wait . refer him to web site .,ask how to dis cal wait . refer him to web sit .
574,"He say that hi phone work fine when use it in the car with the adapt , but the batteri perform suck .","he say that his phone work fine when use it in the car with the adapt , but the batteri perform suck .","he say that his phon work fin when us it in the car with the adapt , but the battery perform suck ."
2992,want a new facepl .,want a new facepl .,want a new facepl .
931,ask about how to chang hi ring tone . refer him to web site .,ask about how to chang his ring tone . refer him to web site .,ask about how to chang his ring ton . refer him to web sit .
2393,want to get an addit line work by the end of the week . forward him on to cstmr care .,want to get an addit line work by the end of the week . forward him on to cstmr care .,want to get an addit lin work by the end of the week . forward him on to cstmr car .
3303,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
741,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
2267,realli is unhappi with the websit . claim the self servic stuff doe not work .,realli is unhappi with the websit . claim the self servic stuff doe not work .,real is unhappy with the websit . claim the self serv stuff doe not work .
577,claim the phone doe not work well . If the phone doe not work consist whi should he pay consisit . good point .,claim the phone doe not work well . if the phone doe not work consist whi should he pay consisit . good point .,claim the phon doe not work wel . if the phon doe not work consist why should he pay consisit . good point .
3165,I suspect that the handset on my phone wa defect from the day I bought it .,i suspect that the handset on my phone was defect from the day i bought it .,i suspect that the handset on my phon was defect from the day i bought it .
2144,I suspect that the handset on my phone wa defect from the day I bought it .,i suspect that the handset on my phone was defect from the day i bought it .,i suspect that the handset on my phon was defect from the day i bought it .
686,ask for a chang of address and want to switch plan . transeff him to customr care .,ask for a chang of address and want to switch plan . transeff him to customr care .,ask for a chang of address and want to switch plan . transeff him to customr car .
339,handset suck,handset suck,handset suck
418,want a new facepl .,want a new facepl .,want a new facepl .
1104,He ask for a new phone number . I refer him to custom care .,he ask for a new phone number . i refer him to custom care .,he ask for a new phon numb . i refer him to custom car .
3712,I expect significantli better technic support .,i expect signific better technic support .,i expect sign bet techn support .
2275,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
3272,want to add addit line for famili . need more info on rate .,want to add addit line for famili . need more info on rate .,want to ad addit lin for famy . nee mor info on rat .
3767,need help figur out hi bill . I explain our minut charg .,need help figur out his bill . i explain our minut charg .,nee help fig out his bil . i explain our minut charg .
3481,ask about how to chang hi ring tone . refer him to web site .,ask about how to chang his ring tone . refer him to web site .,ask about how to chang his ring ton . refer him to web sit .
3441,"He found a phone and want to know what to do with it . He said it wa one of our , but that the batteri wa dead . ask who he should send it too .","he found a phone and want to know what to do with it . he said it was one of our , but that the batteri was dead . ask who he should send it too .","he found a phon and want to know what to do with it . he said it was on of our , but that the battery was dead . ask who he should send it too ."
2565,want to get an addit line work by the end of the week for hi goat .,want to get an addit line work by the end of the week for his goat .,want to get an addit lin work by the end of the week for his goat .
3035,need help figur out hi bill . I explain our minut charg .,need help figur out his bill . i explain our minut charg .,nee help fig out his bil . i explain our minut charg .
114,want to add addit line for famili . need more info on rate .,want to add addit line for famili . need more info on rate .,want to ad addit lin for famy . nee mor info on rat .
3705,I expect significantli better technic support .,i expect signific better technic support .,i expect sign bet techn support .
3078,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
1547,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
398,want to know how to do text messag . refer him to web site .,want to know how to do text messag . refer him to web site .,want to know how to do text mess . refer him to web sit .
1190,He lost hi phone and call to cancel servic . I told him we would suspend until we hear back from him . He will contact us soon .,he lost his phone and call to cancel servic . i told him we would suspend until we hear back from him . he will contact us soon .,he lost his phon and cal to cancel serv . i told him we would suspend until we hear back from him . he wil contact us soon .
3077,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
984,need help figur out hi bill . I explain our minut charg .,need help figur out his bill . i explain our minut charg .,nee help fig out his bil . i explain our minut charg .
11,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
2875,lost hi charger and want to know where he can anoth asap . I suggest local store .,lost his charger and want to know where he can anoth asap . i suggest local store .,lost his charg and want to know wher he can anoth asap . i suggest loc stor .
